grid_row,grid_col,building_id,profile_id,lon,lat,landuse,roof_area_m2
5,31,201006.0001659,Com_46652,-122.39197024525521,37.79123434094816,industrial,57.511
5,32,201006.0001414,Com_22489,-122.39305370553456,37.79135867549725,industrial,86.267
5,33,201006.0000175,Com_36168,-122.3909739618865,37.79078742574401,commercial,134.193
5,34,201006.0001608,Com_25717,-122.39250376560302,37.79089741679312,commercial,172.534
5,35,201006.000152,Com_22489,-122.39338793463635,37.79105043883541,industrial,86.267
6,0,201006.0017249,Res_218306,-122.40636758427078,37.80161295128752,residential,103.262
6,1,201006.0145604,Res_502967,-122.40598262153284,37.80166434551824,residential,30.495
6,2,201006.0012704,Res_218306,-122.40536362963144,37.80170778003898,residential,33.213
6,3,201006.0157543,Res_155037,-122.40486127459755,37.80181178164574,residential,109.119
6,4,201006.0146811,Res_214280,-122.40423819474341,37.80188876512771,residential,56.945
6,5,201006.0113546,Res_251238,-122.40405715194673,37.80189730316247,residential,67.452
6,6,201006.0129084,Res_251238,-122.40401140798433,37.80171919394806,residential,45.995
6,7,201006.0100815,Res_183012,-122.4038453976907,37.801291713804474,residential,25.000
6,8,201006.0162063,Res_520632,-122.40396409277596,37.80150259842697,residential,25.000
6,9,201006.0100593,Res_261790,-122.40392986272512,37.8012748330319,residential,50.393
6,10,201006.0028549,Res_155037,-122.40368568630731,37.800662703575846,residential,65.248
6,11,201006.0014208,Res_502967,-122.40379702857315,37.80077631433335,residential,48.611
6,12,201006.001641,Res_520632,-122.40370984667237,37.80053555766511,residential,136.917
6,13,201006.0016641,Res_218306,-122.40311768540388,37.799512676530014,residential,105.254
6,14,201006.0021236,Res_251238,-122.40322854101599,37.799480551076336,residential,85.548
6,15,201006.0001409,Com_45936,-122.40264804537418,37.79869691619023,industrial,402.580
6,16,201006.0021034,Res_251238,-122.40305740913607,37.799152610895355,residential,130.073
6,17,201006.0009853,Com_36713,-122.40247398142363,37.79823442238511,industrial,243.359
6,18,201006.0015693,Com_36713,-122.40244837799582,37.798129905677335,industrial,133.576
6,19,201006.001238,Com_52133,-122.40170216560904,37.79718514413237,industrial,176.330
6,20,201006.0121401,Res_183012,-122.40136307514797,37.79683904134766,residential,47.343
6,21,201006.0010158,Com_18865,-122.4016104930122,37.79705136395718,industrial,301.935
6,22,201006.0013609,Com_18865,-122.4015767202527,37.796966473135726,industrial,135.871
6,23,201006.0015068,Res_218306,-122.40155004213781,37.796905688981454,residential,171.423
6,24,201006.0002226,Com_23969,-122.39859149245768,37.79415504342778,industrial,150.967
6,25,201006.0000792,Com_26114,-122.3997267623952,37.79483847490493,industrial,241.548
6,26,201006.0005963,Com_26688,-122.39855038039335,37.793961920244485,industrial,185.408
6,27,201006.0011536,Com_29003,-122.39861206681597,37.79382889906916,industrial,172.534
6,28,201006.0001958,Com_40141,-122.398480522771,37.79367787215967,industrial,60.387
6,29,201006.0009471,Com_39676,-122.39921449993695,37.79414225500212,industrial,235.702
6,30,201006.0009071,Com_18877,-122.39919455372676,37.79401130288814,commercial,166.064
6,31,201006.0001029,Com_53860,-122.3928216894091,37.790611098165336,industrial,57.511
6,32,201006.0000619,Com_46344,-122.39217097893365,37.790400041123796,industrial,63.565
6,33,201006.0000159,Res_157594,-122.39008790599635,37.79005683819504,residential,25.000
6,34,201006.0000504,Com_46344,-122.39491492729405,37.79116827420409,industrial,67.097
6,35,201006.000043,Res_353580,-122.3893397864912,37.789442426510924,residential,25.000
7,0,201006.0101224,Res_251238,-122.40630944493121,37.801311478891975,residential,48.108
7,1,201006.0079174,Res_247392,-122.4057546436908,37.801276329129806,residential,66.848
7,2,201006.0002028,Res_37220,-122.40530295754981,37.80120938155428,residential,402.580
7,3,201006.0122691,Res_251238,-122.40487549193577,37.801182178255495,residential,42.472
7,4,201006.0150706,Res_520632,-122.40428237262444,37.80125766422731,residential,25.000
7,5,201006.0127213,Res_520632,-122.4040127869568,37.80125248653688,residential,48.566
7,6,201006.0039189,Res_502967,-122.40394112975396,37.80092191035111,residential,87.772
7,7,201006.0155652,Res_251238,-122.4040644814856,37.80149123774116,residential,35.870
7,8,201006.0076317,Res_251238,-122.40403050976519,37.800924684820906,residential,44.264
7,9,201006.0126673,Res_502967,-122.40382108754268,37.80032526337563,residential,67.030
7,10,201006.0027948,Res_183012,-122.40333416376399,37.799500328419896,residential,26.812
7,11,201006.0126158,Res_251238,-122.40344135216502,37.7996082012905,residential,82.770
7,12,201006.0130785,Res_251238,-122.4030736428692,37.79902974803979,residential,25.000
7,13,201006.0082916,Res_247392,-122.40306175105484,37.79897506793254,residential,33.012
7,14,201006.0063163,Res_251238,-122.40316770400719,37.79912423958329,residential,45.008
7,15,201006.0149573,Res_155037,-122.40308344276987,37.79891746996611,residential,41.365
7,16,201006.0009086,Com_33730,-122.40249115562494,37.798033744137506,industrial,241.548
7,17,201006.0018204,Com_28760,-122.40232453832446,37.79769278121926,industrial,93.237
7,18,201006.0167132,Res_368723,-122.40160184836279,37.79685713762123,residential,114.282
7,19,201006.0008733,Res_183012,-122.40159887057285,37.79680413390902,residential,28.406
7,20,201006.0027986,Com_34599,-122.40230415805095,37.79760051621061,commercial,131.865
7,21,201006.0017006,Com_34504,-122.40076429612782,37.7957164879745,industrial,25.000
7,22,201006.0005549,Com_18865,-122.40072510435647,37.795578014577124,industrial,301.935
7,23,201006.0009849,Com_32309,-122.40097980851064,37.795581820269675,industrial,258.899
7,24,201006.001793,Com_53167,-122.39940311034685,37.79404435726785,commercial,92.271
7,25,201006.0007495,Com_36168,-122.39924545559936,37.79388441319245,commercial,305.830
7,26,201006.002447,Com_52855,-122.39948717490589,37.79402809430371,industrial,98.884
7,27,201006.0006789,Com_29003,-122.39903506030967,37.793628215871244,industrial,172.534
7,28,201006.0009079,Com_53167,-122.39916834531056,37.79361434643672,commercial,185.911
7,29,201006.0004661,Com_39676,-122.39933081443532,37.793588714178604,industrial,172.534
7,30,201006.0001373,Com_36069,-122.39739891225545,37.79194334850643,industrial,30.968
7,31,201006.0000806,Com_53860,-122.39646809664863,37.79126117710283,industrial,46.452
7,32,201006.0001065,Res_408096,-122.39120621817507,37.78952999811221,residential,25.000
7,33,201006.0002688,Res_268674,-122.3906226582484,37.78942898880411,residential,25.000
7,34,201006.0002204,Res_353580,-122.39099155841991,37.789123809957594,residential,25.000
7,35,201006.0000787,Com_38586,-122.38879637938729,37.788941292649945,commercial,172.534
8,0,201006.0035024,Res_251238,-122.40631633515335,37.80061339362139,residential,93.600
8,1,201006.0075577,Res_251238,-122.40583019088089,37.80067042315064,residential,78.503
8,2,201006.0028665,Res_155037,-122.40539436826995,37.8007574176246,residential,39.252
8,3,201006.0147145,Res_155037,-122.40482430762228,37.80061580118491,residential,40.006
8,4,201006.002164,Res_183012,-122.40417683352258,37.8007250680565,residential,34.219
8,5,201006.003381,Res_218306,-122.40397357687917,37.80049832175647,residential,81.613
8,6,201006.0077276,Res_251238,-122.40390402415855,37.80033333449718,residential,87.460
8,7,201006.0007669,Res_301286,-122.40373680584075,37.79998304589775,residential,132.912
8,8,201006.015775,Res_502967,-122.40351392528747,37.79957690148847,residential,60.387
8,9,201006.0110506,Res_251238,-122.40340067028987,37.799432476963645,residential,82.770
8,10,201006.0100892,Res_251238,-122.40347883471534,37.799428518138534,residential,40.258
8,11,201006.0134716,Res_218306,-122.40307040403773,37.79886444570218,residential,25.000
8,12,201006.008871,Res_251238,-122.40329111066761,37.799108614953376,residential,73.974
8,13,201006.0012713,Com_40605,-122.40270037300198,37.798175432272146,industrial,208.712
8,14,201006.0002453,Com_48085,-122.40247852596833,37.79785131073482,industrial,402.580
8,15,201006.0089148,Com_33730,-122.40282008939968,37.79816754433378,industrial,33.213
8,16,201006.0003608,Com_30057,-122.40237263863295,37.797317987969016,industrial,201.290
8,17,201006.0003128,Com_33730,-122.40286958538529,37.797980483596966,industrial,241.548
8,18,201006.0007336,Com_18865,-122.40219434318553,37.79696584684097,industrial,217.393
8,19,201006.0038644,Com_36713,-122.40206878888549,37.79677265903701,industrial,108.697
8,20,201006.0003096,Com_43596,-122.40233342913818,37.797132814781975,industrial,241.548
8,21,201006.000862,Com_36713,-122.40113190838798,37.79556269891601,industrial,537.444
8,22,201006.0112751,Com_53983,-122.40215475764963,37.79676238266859,industrial,71.800
8,23,201006.0001823,Com_46652,-122.39976198427608,37.79394152657636,industrial,46.452
8,24,201006.0001825,Com_22179,-122.40067581595261,37.79472601460394,commercial,54.897
8,25,201006.0011104,Com_45161,-122.3994845962298,37.79357208729343,commercial,251.995
8,26,201006.0007121,Com_18802,-122.39960674377967,37.79351984478846,industrial,134.193
8,27,201006.0001942,Com_36069,-122.39902445158779,37.79302928246349,industrial,60.387
8,28,201006.0001966,Res_39953,-122.398141566728,37.792259677497604,residential,25.000
8,29,201006.0002502,Res_55846,-122.39575242185646,37.79076964217069,residential,25.000
8,30,201006.0021037,Com_46068,-122.3998073452523,37.793662705383134,commercial,102.577
8,31,201006.0001964,Com_29003,-122.39759637163155,37.79158980472518,industrial,172.534
8,32,201006.0011571,Res_118981,-122.39593505722394,37.79053484836874,residential,39.292
8,33,201006.0000588,Com_15713,-122.39012078558501,37.78899619603728,industrial,201.290
8,34,201006.0001955,Res_118981,-122.39190872023427,37.788975035175646,residential,25.000
8,35,201006.0002455,Res_118981,-122.39149598809185,37.78870416811735,residential,25.000
9,0,201006.0057439,Res_529014,-122.40634573205553,37.800025823814565,residential,78.201
9,1,201006.0057638,Res_502967,-122.40574499131496,37.800077051602564,residential,90.973
9,2,201006.015912,Res_502967,-122.40536224171565,37.80011113029649,residential,101.994
9,3,201006.0149078,Res_502967,-122.40476554703066,37.799908667692165,residential,167.242
9,4,201006.0051478,Res_251238,-122.4044274072844,37.79996866848688,residential,58.535
9,5,201006.0149969,Res_502967,-122.40388510413912,37.79991693734956,residential,120.532
9,6,201006.0108287,Res_251238,-122.40366402617661,37.79975491065686,residential,30.193
9,7,201006.0055371,Res_520632,-122.40361033995966,37.799686669699774,residential,25.000
9,8,201006.0137272,Res_520632,-122.40359601921148,37.79963113498301,residential,25.000
9,9,201006.0027009,Res_251238,-122.40339406915504,37.7991070752304,residential,106.885
9,10,201006.0136339,Res_251238,-122.40330390779908,37.798892328719326,residential,38.889
9,11,201006.0113526,Res_251238,-122.40329425269506,37.798834563297184,residential,38.889
9,12,201006.0159981,Res_155037,-122.40353840573653,37.79940977263446,residential,27.235
9,13,201006.0029644,Com_51223,-122.403133220484,37.79813402936876,commercial,108.697
9,14,201006.0008571,Res_465825,-122.40348915260587,37.79896796184046,residential,121.665
9,15,201006.0132514,Res_251238,-122.4031414842622,37.79802569724572,residential,57.971
9,16,201006.0009741,Res_297992,-122.4023089645235,37.79674218997959,residential,241.548
